연도,전체산업수출금액(백만불),전체산업수출증감(전년대비_퍼센트),전체산업수입금액(백만불),전체산업수입증감(전년대비_퍼센트),전체산업무역수지(백만불),섬유산업수출금액(백만불),섬유산업수출증감(전년대비_퍼센트),섬유산업수출비중(전년대비_퍼센트),섬유산업수입금액(백만불),섬유산업수입증감(전년대비_퍼센트),섬유산업무역수지(백만불)
1980,17505,16,22292,10,-4787,5099,11,29,453,-8,4646
1981,21254,21,26131,17,-4878,6282,23,30,541,20,5741
1982,21853,3,24251,-7,-2397,6002,-5,28,543,0,5459
1983,24445,12,26192,8,-1747,6138,2,25,575,6,5563
1984,29245,20,30631,17,-1387,7195,17,25,673,17,6523
1985,30283,4,31136,2,-853,7084,-2,23,719,7,6365
1986,34714,15,31584,1,3131,8815,24,25,1044,45,7771
1987,47281,36,41020,30,6261,11834,34,25,1567,50,10267
1988,60696,28,51811,26,8886,14171,20,23,1756,12,12415
1989,62377,3,61465,19,912,15237,8,24,2089,19,13148
1990,65016,4,69844,14,-4828,14766,-3,23,2316,11,12450
1991,71870,11,81525,17,-9655,15578,6,22,2784,20,12794
1992,76632,7,81775,0,-5144,15834,2,21,2931,5,12903
1993,82236,7,83800,3,-1564,16030,1,20,3084,5,12945
1994,96013,17,102348,22,-6335,17462,9,18,4165,35,13297
1995,125058,30,135119,32,-10061,18656,7,15,5214,25,13442
1996,129715,4,150339,11,-20624,18112,-3,14,5504,6,12607
1997,136164,5,144616,-4,-8452,18738,4,14,5098,-7,13641
1998,132313,-3,93282,-36,39031,16864,-10,13,2824,-45,14040
1999,143685,9,119752,28,23933,17424,3,12,3883,38,13541
2000,172268,20,160481,34,11786,18783,8,11,4788,23,13995
2001,150439,-13,141098,-12,9341,15603,-17,10,4894,2,10709
2002,162471,8,152126,8,10344,15271,-2,9,5699,16,9571
2003,193817,19,178827,18,14991,14906,-2,8,5883,3,9024
2004,253845,31,224463,26,29382,14891,0,6,6369,8,8522
2005,284419,12,261238,16,23180,13650,-8,5,6723,6,6928
2006,325465,14,309383,18,16082,13016,-5,4,7963,18,5053
2007,371489,14,356846,15,14643,13580,4,4,8913,12,4666
2008,422007,14,435275,22,-13267,13433,-1,3,8770,-2,4664
2009,363534,-14,323085,-26,40449,11685,-13,3,7254,-17,4430
2010,466384,28,425212,32,41172,13980,20,3,9739,34,4241
2011,555214,19,524413,23,30801,16052,15,3,12330,27,3722
2012,547870,-1,519584,-1,28285,15695,-2,3,11712,-5,3983
2013,559632,2,515586,-1,44047,16072,2,3,13261,13,2811
2014,572665,2,525515,2,47150,16096,0,3,14376,8,1720
2015,526757,-8,436499,-17,90258,14490,-10,3,14287,-1,203
2016,495426,-6,406193,-7,89233,13807,-5,3,14491,1,-684
2017,573694,16,478478,18,95216,13742,-1,2,15175,5,-1433
2018,604860,5,535202,12,69657,14080,3,2,17120,13,-3040
2019,542233,-10,503343,-6,38890,12959,-8,2,17110,0,-4151
2020,512498,-6,467633,-7,44865,11238,-13,2,16203,-5,-4965
2021,644400,26,615093,32,29307,12807,14,2,18299,13,-5492
2022,683585,6,731370,19,-47785,12301,-4,2,19901,9,-7601
2023,632226,-8,642572,-12,-10346,10915,-11,2,18876,-5,-7961
2024,683609,8.1,631767,-1.7,51842,10463,-4.1,1.53,19261,2,-8798
